AnnoS;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeC;SedeP;Sesso;Lau
2021;7901;Catanzaro;99999;Giurisprudenza;CATANZARO;79;F;7
2021;7901;Catanzaro;14/S;Farmacia;BORGIA;79;F;7
2021;8003;Reggio Calabria - Dante Alighieri;LM-87;Programmazione e Gestione delle Politiche e dei Servizi Sociali d'Area Mediterranea;REGGIO DI CALABRIA;80;M;7
2021;8201;Palermo;L/SNT4;Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro);PALERMO;82;M;7
2021;7501;Salento;LM-90;Euro-Mediterranean Migration Policies And Governance;LECCE;75;F;7
2021;7601;Basilicata;LM-80;Scienze Antropologiche e Geografiche per i Patrimoni Culturali e la Valorizzazione dei Territori (Sage);MATERA;77;F;7
2021;7601;Basilicata;LM-23;Ingegneria Civile;POTENZA;76;F;7
2021;7601;Basilicata;LM-35;Ingegneria per l'Ambiente e il Territorio;POTENZA;76;M;7
2021;7601;Basilicata;LM-89;Asa: Archeologia e Storia dell'Arte;MATERA;77;F;7
2021;7801;Calabria;14/S;Farmacia;RENDE;78;F;7
2021;7801;Calabria;L-09;Ingegneria Ambientale e Chimica;RENDE;78;M;7
2021;7601;Basilicata;LM-84;Storia e Civiltà Europee;POTENZA;76;M;7
2021;7801;Calabria;LM-06;Biologia;RENDE;78;M;7
2021;7801;Calabria;LM-17;Fisica;RENDE;78;F;7
2021;8301;Messina;LM-46;Odontoiatria e Protesi Dentaria;MESSINA;83;M;7
2021;8301;Messina;LM-40;Matematica;MESSINA;83;M;7
2021;8301;Messina;L-35;Matematica;MESSINA;83;M;7
2021;8601;Enna KORE;L-07;Ingegneria Civile e Ambientale;ENNA;86;M;7
2021;8301;Messina;LM-84;Scienze Storiche: Società, Culture e Istituzioni d'Europa;MESSINA;83;M;7
2021;8601;Enna KORE;LM-23;Ingegneria Civile;ENNA;86;M;7
2021;8301;Messina;L-20;Scienze dell'Informazione: Comunicazione Pubblica e Tecniche Giornalistiche;MESSINA;83;F;7
2021;8301;Messina;L-20;Scienze della Formazione e della Comunicazione;MESSINA;83;M;7
2021;8301;Messina;L-19;Scienze dell'Educazione e della Formazione;MESSINA;83;F;7
2021;8301;Messina;L/SNT3;Tecniche Audioprotesiche (Abilitante alla Professione Sanitaria di Audioprotesista);MESSINA;83;F;7
2021;8201;Palermo;LM-06;Biodiversita' e Biologia Ambientale;PALERMO;82;F;7
2021;8201;Palermo;LM-24;Ingegneria dei Sistemi Edilizi;PALERMO;82;F;7
2021;8201;Palermo;LM-29;Ingegneria Elettronica;PALERMO;82;F;7
2021;8201;Palermo;LM-32;Ingegneria Informatica;PALERMO;82;F;7
2021;8201;Palermo;LM-47;Management dello Sport e delle Attività Motorie;PALERMO;82;M;7
2021;8201;Palermo;LM-68;Scienze e Tecniche delle Attività Motorie Preventive e Adattate e delle Attività Sportive;PALERMO;82;F;7
2021;8201;Palermo;LM-69;Scienze delle Produzioni e delle Tecnologie Agrarie;PALERMO;82;F;7
2021;8201;Palermo;LM-85;Scienze Pedagogiche;PALERMO;82;M;7
2021;6501;Salerno;LM-02;Archeologia e Culture Antiche;FISCIANO;65;M;7
2021;6501;Salerno;LM-06;Biologia;FISCIANO;65;M;7
2021;6501;Salerno;LM-14;Linguistica e Didattica dell'Italiano Nel Contesto Internazionale;FISCIANO;65;F;7
2021;6501;Salerno;LM-54;Chimica;FISCIANO;65;F;7
2021;6501;Salerno;L/SNT2;Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista);BARONISSI;65;M;7
2021;6306;Napoli Vanvitelli;LM-62;Scienze della Politica;CASERTA;61;F;7
2021;6306;Napoli Vanvitelli;L/SNT4;Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro);NAPOLI;63;M;7
2021;6306;Napoli Vanvitelli;LM-09;Molecular Biotechnology;CASERTA;61;F;7
2021;6306;Napoli Vanvitelli;LM-29;Ingegneria Elettronica;AVERSA;61;M;7
2021;6303;Napoli L'Orientale;L-01;Civiltà Antiche e Archeologia: Oriente e Occidente;NAPOLI;63;F;7
2021;6303;Napoli L'Orientale;L-11;Lingue, Lettere e Culture Comparate;NAPOLI;63;M;7
2021;6303;Napoli L'Orientale;LM-36;Lingue e Culture dell'Asia e dell'Africa;NAPOLI;63;M;7
2021;6304;Napoli Benincasa;LM-57;Consulenza Pedagogica;NAPOLI;63;M;7
2021;6304;Napoli Benincasa;LMR/02;Conservazione e Restauro dei Beni Culturali (Abilitante Ai Sensi del D.Lgs N.42/2004);NAPOLI;63;F;7
2021;6302;Napoli Parthenope;LM-63;Management Pubblico;NAPOLI;63;M;7
2021;6302;Napoli Parthenope;LM-35;Ingegneria Civile e per la Tutela dell'Ambiente Costiero;NAPOLI;63;M;7
2021;6302;Napoli Parthenope;LM-83;Metodi Quantitativi per la Valutazioni Economiche e Finanziarie;NAPOLI;63;M;7
2021;6301;Napoli Federico II;LMG/01;Giurisprudenza;NAPOLI;63;M;7
2021;6301;Napoli Federico II;LM-06;Biologia ed Ecologia dell' Ambiente Marino ed Uso Sostenibile delle Sue Risorse;NAPOLI;63;F;7
2021;6301;Napoli Federico II;LM-56;Economia e Finanza;NAPOLI;63;F;7
2021;6301;Napoli Federico II;LM-48;Pianificazione Territoriale, Urbanistica e Paesaggistico-Ambientale;NAPOLI;63;F;7
2021;6301;Napoli Federico II;LM-51;Corso di Laurea Magistrale in Psicologia Clinica;NAPOLI;63;F;7
2021;6301;Napoli Federico II;LM-32;Ingegneria Informatica;NAPOLI;63;F;7
