ANNO_LAUREA;COD_Ateneo;NomeOperativo;NUMERO;NOME_CORSO;COMUNE;ID_PROVINCIA_ISTAT;ID_SESSO;laureati
2020;5801;Roma La Sapienza;LM-84;Scienze Storiche. Medioevo, Eta Moderna, Eta Contemporanea;ROMA;58;M;9
2020;5801;Roma La Sapienza;LM-74;Geologia Applicata all'Ingegneria, al Territorio e Ai Rischi;ROMA;58;F;9
2020;5801;Roma La Sapienza;LM-74;Geologia di Esplorazione;ROMA;58;F;9
2020;5801;Roma La Sapienza;LM-74;Geologia di Esplorazione;ROMA;58;M;9
2020;5801;Roma La Sapienza;LM-75;Monitoraggio e Riqualificazione Ambientale;ROMA;58;F;9
2020;5802;Roma Tor Vergata;LM-68;Physical Activity And Health Promotion;ROMA;58;F;9
2020;5802;Roma Tor Vergata;LM-40;Matematica Pura e Applicata;ROMA;58;M;9
2020;5802;Roma Tor Vergata;LM-37;Lingue e Letterature Europee e Americane;ROMA;58;M;9
2020;5802;Roma Tor Vergata;LM-45;Musica e Spettacolo;ROMA;58;F;9
2020;5802;Roma Tor Vergata;LM-32;Ingegneria Informatica;ROMA;58;F;9
2020;5802;Roma Tor Vergata;LM-24;Ingegneria e Tecniche del Costruire;ROMA;58;M;9
2020;5802;Roma Tor Vergata;L-35;Matematica;ROMA;58;M;9
2020;5802;Roma Tor Vergata;LM-06;Biologia Cellulare e Molecolare e Scienze Biomediche;ROMA;58;M;9
2020;5802;Roma Tor Vergata;LM-04cu;Ingegneria Edile-Architettura;ROMA;58;M;9
2020;5802;Roma Tor Vergata;LM-08;Biotechnology - Biotecnologie;ROMA;58;M;9
2020;5801;Roma La Sapienza;LM-41;"Medicina e Chirurgia ""C""";ROMA;58;M;9
2020;5801;Roma La Sapienza;LM-37;English And Anglo-American Studies;ROMA;58;M;9
2020;5801;Roma La Sapienza;LM-12;Design, Comunicazione Visiva e Multimediale;ROMA;58;M;9
