"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",10085,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",2115,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",2115,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",50210,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",8715,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",47781,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",6428,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",4878,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",36507,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",30971,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",15901,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",3996,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",5518,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",30971,,
